Ship_from;Ship_to;Buyer;Material_Tax;Incoterm;VAT_ID;Taxcode;Taxrate
AT;AT;AT;1;0;AT;domestic full tax;0.2
AT;AT;NL;1;0;AT;domestic full tax;0.2
AT;ES;CH;1;0;EU;intra-EU supply;0
AT;DE;AT;1;1;EU;domestic full tax;0.2
AT;AT;AT;1;0;AT;domestic full tax;0.2
AT;RU;AT;1;1;AT;domestic full tax;0.2
AT;DE;RU;1;0;EU;intra-EU supply;0
AT;NL;RU;1;1;EU;domestic full tax;0.2
AT;NL;RU;1;0;EU;intra-EU supply;0
AT;AT;AT;1;0;AT;domestic full tax;0.2
AT;AT;AT;1;0;AT;domestic full tax;0.2
AT;AT;ES;1;1;AT;domestic full tax;0.2
AT;NL;AT;1;0;EU;intra-EU supply;0
AT;AT;CH;1;0;AT;domestic full tax;0.2
AT;CH;CH;1;0;not required;export;0
AT;IT;CH;1;0;EU;intra-EU supply;0
AT;CH;NL;1;0;not required;export;0
AT;DE;ES;1;0;EU;intra-EU supply;0
AT;AT;IT;0;1;AT;domestic no tax;0
AT;CH;AT;1;0;AT;export;0
AT;DE;AT;1;0;EU;intra-EU supply;0
AT;AT;AT;0;0;AT;domestic no tax;0
AT;NL;ES;0;1;EU;domestic full tax;0.2
AT;AT;CH;1;1;AT;domestic full tax;0.2
AT;AT;IT;1;1;AT;domestic full tax;0.2
AT;AT;NL;0;0;AT;domestic no tax;0
AT;AT;ES;1;1;AT;domestic full tax;0.2
AT;AT;CH;1;1;AT;domestic full tax;0.2
AT;RU;DE;1;0;not required;export;0
AT;AT;IT;1;1;AT;domestic full tax;0.2
AT;IT;AT;1;0;EU;intra-EU supply;0
AT;ES;DE;1;0;EU;intra-EU supply;0
AT;IT;AT;1;0;EU;intra-EU supply;0
AT;AT;RU;1;1;AT;domestic full tax;0.2
AT;RU;AT;1;0;AT;export;0
AT;NL;ES;1;1;EU;domestic full tax;0.2
AT;CH;AT;1;0;AT;export;0
AT;AT;AT;1;0;AT;domestic full tax;0.2
AT;CH;AT;0;0;AT;export;0
AT;IT;DE;0;0;EU;intra-EU supply;0
AT;RU;NL;1;0;not required;export;0
AT;NL;AT;1;1;EU;domestic full tax;0.2
AT;CH;DE;1;1;not required;domestic full tax;0.2
AT;ES;RU;1;0;EU;intra-EU supply;0
AT;ES;DE;1;1;EU;domestic full tax;0.2
AT;CH;CH;1;0;not required;export;0
AT;AT;NL;1;0;AT;domestic full tax;0.2
AT;IT;ES;1;1;EU;domestic full tax;0.2
AT;CH;IT;1;0;not required;export;0
AT;NL;RU;1;0;EU;intra-EU supply;0
AT;IT;AT;1;0;EU;intra-EU supply;0
AT;RU;AT;1;0;AT;export;0
AT;IT;AT;1;0;EU;intra-EU supply;0
AT;AT;CH;0;0;AT;domestic no tax;0
AT;AT;AT;1;0;AT;domestic full tax;0.2
AT;AT;AT;1;0;AT;domestic full tax;0.2
